"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"1",1.10499463384328,1.56841871759684,-1.02824394050231,-0.53799116372895,0.195892819354157
"2",-0.356574449933468,-0.0329891207349866,1.95250028001737,-0.355814008080027,0.555433588854567
"3",-0.983975692834481,-0.419015506682688,0.636288223600574,0.0192275367380648,-0.272936802693003
"4",-0.0363520313238629,-2.93812380805957,-2.24713982184732,-0.291757382831327,0.255161375847277
"5",1.13846853074844,0.648409029396853,-0.170401852574821,1.53634155635803,0.445683182967094
"6",-0.444223929579282,-1.6845518552711,0.379621770586215,0.775970180345411,-0.491717664242936
"7",0.480562397417828,0.454953569296933,1.22430058172122,-0.10713736850958,-0.370951181123542
"9",-0.441525180395926,0.107750601077623,0.448224073549481,-0.142998586009306,0.277425024399319
"10",-0.203897603280943,-0.0268152160802814,-0.0626728202870436,-0.197604366557928,-0.115193175207616
"11",0.501894081860127,-0.427089053616075,0.733998550383625,-0.319639224559688,-0.0629102631962844
"12",-0.0920143233177208,-0.538805610735716,0.437503468945047,-0.326859035667208,0.045889073963204
"13",-3.37250200476634,2.0824443405594,-1.35590107862894,0.116836191894164,-0.0919289946154363
"14",2.70514557156235,1.20541391325277,-0.948077434963102,-0.168574329391657,-0.3698469843068
